Player,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,Team
LeBron James ,30963450.00,33285709.00,35607968.00,0.00,0.00,0.00,Cleveland Cavaliers
Kevin Love ,21165675.00,22642350.00,24119025.00,25595700.00,0.00,0.00,Cleveland Cavaliers
Kyrie Irving ,17638063.00,18868626.00,20099189.00,21329752.00,0.00,0.00,Cleveland Cavaliers
Tristan Thompson ,15330435.00,16400000.00,17469565.00,18539130.00,0.00,0.00,Cleveland Cavaliers
JR Smith ,12800000.00,13760000.00,14720000.00,15680000.00,0.00,0.00,Cleveland Cavaliers
Iman Shumpert ,9662922.00,10337079.00,11011234.00,0.00,0.00,0.00,Cleveland Cavaliers
Channing Frye ,7806971.00,7420912.00,0.00,0.00,0.00,0.00,Cleveland Cavaliers
Kyle Korver ,5239437.00,0.00,0.00,0.00,0.00,0.00,Cleveland Cavaliers
Richard Jefferson ,2500000.00,2500000.00,2612500.00,0.00,0.00,0.00,Cleveland Cavaliers
Chris Andersen ,1551659.00,0.00,0.00,0.00,0.00,0.00,Cleveland Cavaliers
James Jones ,1551659.00,0.00,0.00,0.00,0.00,0.00,Cleveland Cavaliers
Toney Douglas ,1315448.00,0.00,0.00,0.00,0.00,0.00,Cleveland Cavaliers
Jordan McRae ,874636.00,0.00,0.00,0.00,0.00,0.00,Cleveland Cavaliers
Kay Felder ,543471.00,905249.00,1050262.00,0.00,0.00,0.00,Cleveland Cavaliers
DeAndre Liggins ,543471.00,905249.00,0.00,0.00,0.00,0.00,Cleveland Cavaliers
,,,,,,,Cleveland Cavaliers
Dwyane Wade ,23200000.00,23800000.00,0.00,0.00,0.00,0.00,Chicago Bulls
Jimmy Butler ,17552209.00,18696918.00,19841627.00,19841627.00,0.00,0.00,Chicago Bulls
Rajon Rondo ,14000000.00,13397000.00,0.00,0.00,0.00,0.00,Chicago Bulls
Robin Lopez ,13219250.00,13788500.00,14357750.00,0.00,0.00,0.00,Chicago Bulls
Taj Gibson ,8950000.00,0.00,0.00,0.00,0.00,0.00,Chicago Bulls
Nikola Mirotic ,5782450.00,7228063.00,0.00,0.00,0.00,0.00,Chicago Bulls
Michael Carter-Williams ,3183526.00,4358247.00,0.00,0.00,0.00,0.00,Chicago Bulls
Doug McDermott ,2483040.00,3294994.00,4510846.00,0.00,0.00,0.00,Chicago Bulls
Denzel Valentine ,2092200.00,2186400.00,2280600.00,3377568.00,4698197.00,0.00,Chicago Bulls
Jerian Grant ,1643040.00,1713840.00,2639313.00,3763661.00,0.00,0.00,Chicago Bulls
Bobby Portis ,1404600.00,1465080.00,2410056.00,3489761.00,0.00,0.00,Chicago Bulls
Isaiah Canaan ,1015696.00,1087745.00,0.00,0.00,0.00,0.00,Chicago Bulls
Cristiano Felicio ,874636.00,0.00,0.00,0.00,0.00,0.00,Chicago Bulls
Paul Zipser ,750000.00,905249.00,1050262.00,1126120.00,0.00,0.00,Chicago Bulls
RJ Hunter ,425000.00,0.00,0.00,0.00,0.00,0.00,Chicago Bulls
Thomas Walkup ,69500.00,0.00,0.00,0.00,0.00,0.00,Chicago Bulls
,,,,,,,Chicago Bulls
Luol Deng ,18000000.00,17190000.00,18000000.00,18810000.00,0.00,0.00,LA Lakers
Timofey Mozgov ,16000000.00,15280000.00,16000000.00,16720000.00,0.00,0.00,LA Lakers
Jordan Clarkson ,12500000.00,11562500.00,12500000.00,13437500.00,0.00,0.00,LA Lakers
Jose Calderon ,7708427.00,0.00,0.00,0.00,0.00,0.00,LA Lakers
Louis Williams ,7000000.00,7000000.00,0.00,0.00,0.00,0.00,LA Lakers
Tarik Black ,6191000.00,6655325.00,0.00,0.00,0.00,0.00,LA Lakers
Nick Young ,5443918.00,5668667.00,0.00,0.00,0.00,0.00,LA Lakers
D'Angelo Russell ,5332800.00,5562360.00,7019698.00,9160705.00,0.00,0.00,LA Lakers
Brandon Ingram ,5281680.00,5519400.00,5757120.00,7265485.00,9481458.00,0.00,LA Lakers
Julius Randle ,3267120.00,4149242.00,5564134.00,0.00,0.00,0.00,LA Lakers
Metta World Peace ,1551659.00,0.00,0.00,0.00,0.00,0.00,LA Lakers
Marcelo Huertas ,1500000.00,1567500.00,0.00,0.00,0.00,0.00,LA Lakers
Larry Nance Jr ,1207680.00,1259640.00,2272390.00,3369955.00,0.00,0.00,LA Lakers
Thomas Robinson ,1050961.00,0.00,0.00,0.00,0.00,0.00,LA Lakers
Ivica Zubac ,1034865.00,1081529.00,1128102.00,0.00,0.00,0.00,LA Lakers
Anthony Brown ,874636.00,0.00,0.00,0.00,0.00,0.00,LA Lakers
Yi Jianlian ,250000.00,0.00,0.00,0.00,0.00,0.00,LA Lakers
Zach Auguste ,60000.00,0.00,0.00,0.00,0.00,0.00,LA Lakers
,,,,,,,LA Lakers
Carmelo Anthony ,24559380.00,26243760.00,27928140.00,0.00,0.00,0.00,NY Knicks
Derrick Rose ,21323252.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
Joakim Noah ,17000000.00,17765000.00,18530000.00,19295000.00,0.00,0.00,NY Knicks
Courtney Lee ,11242000.00,11747890.00,12253780.00,12759670.00,0.00,0.00,NY Knicks
Lance Thomas ,6191000.00,6655325.00,7119650.00,7583975.00,0.00,0.00,NY Knicks
Brandon Jennings ,5000000.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
Kristaps Porzingis ,4317720.00,4503600.00,5697054.00,7514414.00,0.00,0.00,NY Knicks
Kyle O'Quinn ,3918750.00,4087500.00,4256250.00,0.00,0.00,0.00,NY Knicks
Mindaugas Kuzminskas ,2898000.00,3028410.00,3785513.00,0.00,0.00,0.00,NY Knicks
Sasha Vujacic ,1410598.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
Willy Hernangomez ,1375000.00,1435750.00,1496500.00,1557250.00,0.00,0.00,NY Knicks
Justin Holiday ,1015696.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
Louis Amundson ,980431.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
Ron Baker ,543471.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
Maurice Ndour ,543471.00,905249.00,0.00,0.00,0.00,0.00,NY Knicks
Marshall Plumlee ,543471.00,905249.00,1050262.00,0.00,0.00,0.00,NY Knicks
Chasson Randle ,100000.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
JP Tokoto ,100000.00,0.00,0.00,0.00,0.00,0.00,NY Knicks
,,,,,,,NY Knicks
Mike Conley ,26540100.00,28530608.00,30521115.00,32511623.00,34502130.00,0.00,Memphis Grizzlies
Chandler Parsons ,22116750.00,23112004.00,24107258.00,25102512.00,0.00,0.00,Memphis Grizzlies
Marc Gasol ,21165675.00,22642350.00,24119025.00,25595700.00,0.00,0.00,Memphis Grizzlies
Zach Randolph ,10000000.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Brandan Wright ,5709880.00,5955760.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Tony Allen ,5000000.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Vince Carter ,4264057.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Troy Daniels ,3332940.00,3408520.00,3258539.00,0.00,0.00,0.00,Memphis Grizzlies
James Ennis ,2898000.00,3028410.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Wade Baldwin ,1793760.00,1874400.00,1955160.00,3003125.00,4240413.00,0.00,Memphis Grizzlies
Jordan Adams ,1465080.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Deyonta Davis ,1369229.00,1307614.00,1245999.00,0.00,0.00,0.00,Memphis Grizzlies
Jarell Martin ,1286160.00,1341600.00,2416221.00,3549429.00,0.00,0.00,Memphis Grizzlies
JaMychal Green ,980431.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Andrew Harrison ,945000.00,987500.00,1050262.00,0.00,0.00,0.00,Memphis Grizzlies
Troy Williams ,543471.00,905249.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Toney Douglas ,85117.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
DJ Stephens ,35000.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
Tony Wroten ,25000.00,0.00,0.00,0.00,0.00,0.00,Memphis Grizzlies
,,,,,,,Memphis Grizzlies
Danilo Gallinari ,15050000.00,16100000.00,0.00,0.00,0.00,0.00,Denver Nuggets
Kenneth Faried ,12078652.00,12921348.00,13764045.00,0.00,0.00,0.00,Denver Nuggets
Wilson Chandler ,11233146.00,12016854.00,12800562.00,0.00,0.00,0.00,Denver Nuggets
Darrell Arthur ,8070175.00,7464912.00,7464912.00,0.00,0.00,0.00,Denver Nuggets
Jameer Nelson ,4540525.00,4736050.00,0.00,0.00,0.00,0.00,Denver Nuggets
Will Barton ,3533333.00,3533333.00,0.00,0.00,0.00,0.00,Denver Nuggets
Mike Miller ,3500000.00,3500000.00,0.00,0.00,0.00,0.00,Denver Nuggets
Emmanuel Mudiay ,3241800.00,3381480.00,4294479.00,5758897.00,0.00,0.00,Denver Nuggets
Jamal Murray ,3210840.00,3355320.00,3499800.00,4444746.00,5960404.00,0.00,Denver Nuggets
Maurice Williams ,2194500.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
Juan Hernangomez ,1987440.00,2076840.00,2166360.00,3321029.00,4642799.00,0.00,Denver Nuggets
Jusuf Nurkic ,1921320.00,2947304.00,4140963.00,0.00,0.00,0.00,Denver Nuggets
Gary Harris ,1655880.00,2550055.00,3636378.00,0.00,0.00,0.00,Denver Nuggets
Malik Beasley ,1627320.00,1700640.00,1773840.00,2731713.00,3895423.00,0.00,Denver Nuggets
Nikola Jokic ,1358500.00,1417000.00,1475500.00,0.00,0.00,0.00,Denver Nuggets
Nick Johnson ,980431.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
Axel Toupane ,874636.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
Alonzo Gee ,427704.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
Robbie Hummel ,150000.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
Jarnell Stokes ,150000.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
DJ Kennedy ,50000.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
Nate Wolters ,50000.00,0.00,0.00,0.00,0.00,0.00,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
,,,,,,,Denver Nuggets
