'Site','Unique Visitors','Total Visits','Visits per Unique Visitor'
'facebook.com',68557534,1191373339,17.3777
'myspace.com',58555800,810153536,13.8356
'twitter.com',5979052,54218731,9.0681
'fixter.com',7645423,53389974,6.9833
'linkedin.com',11274160,42744438,3.7914
'tagged.com',4448915,39630927,8.908
'classmates.com',17296524,35219210,2.0362
'myyearbook.com',3312898,33121821,9.9978
'livejournal.com',4720720,25221354,5.3427
'imeem.com',9047491,22993608,2.5414
'reunion.com',13704990,20278100,1.4796
'ning.com',5673549,19511682,3.4391
'blackplanet.com',1530329,10173342,6.6478
'bebo.com',2997929,9849137,3.2853
'hi5.com',2398323,9416265,3.9262
'yuku.com',1317551,9358966,7.1033
'cafemom.com',1647336,8586261,5.2122
'friendster.com',1568439,7279050,4.641
'xanga.com',1831376,7009577,3.8275
'360.yahoo.com',1499057,5199702,3.4686
'orkut.com',494464,5081235,10.2762
'urbanchat.com',329041,2961250,8.9996
'fubar.com',452090,2170315,4.8006
'asiantown.net',81245,1118245,13.7639
'tickle.com',96155,109492,1.1387
