'x1','x2','x3','x4','y'
0.2,0.2,1.5,145,83.9
0.4,0.2,1.5,145,84.9
0.2,0.4,1.5,145,83.4
0.4,0.4,1.5,145,84.2
0.2,0.2,3.5,145,83.8
0.4,0.2,3.5,145,84.7
0.2,0.4,3.5,145,84
0.4,0.4,3.5,145,84.8
0.2,0.2,1.5,175,84.5
0.4,0.2,1.5,175,86
0.2,0.4,1.5,175,82.6
0.4,0.4,1.5,175,85.1
0.2,0.2,3.5,175,84.5
0.4,0.2,3.5,175,86
0.2,0.4,3.5,175,84
0.4,0.4,3.5,175,85.4
0.1,0.3,2.5,160,82.9
0.5,0.3,2.5,160,85.5
0.3,0.1,2.5,160,85.2
0.3,0.5,2.5,160,84.5
0.3,0.3,0.5,160,84.7
0.3,0.3,4.5,160,85
0.3,0.3,2.5,130,84.9
0.3,0.3,2.5,190,84
0.3,0.3,2.5,160,84.5
0.3,0.3,2.5,160,84.7
0.3,0.3,2.5,160,84.6
0.3,0.3,2.5,160,84.9
0.3,0.3,2.5,160,84.9
0.3,0.3,2.5,160,84.5
0.3,0.3,2.5,160,84.6
